t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
2.972,0.0156,0.0156,0.0664,3,0.1700,0.9026,0.1497,-0.3659,3,0.1355,
2.982,0.0156,0.0156,0.0664,3,0.1700,0.9026,0.1495,-0.3661,3,0.1357,
2.993,0.0156,0.0156,0.0664,3,0.1700,0.9026,0.1494,-0.3662,3,0.1355,
3.004,0.0156,0.0156,0.0664,3,0.1699,0.9026,0.1494,-0.3663,3,0.1348,
3.015,0.0078,0.0117,0.0156,3,0.1699,0.9026,0.1494,-0.3663,3,0.1348,
3.026,0.0078,0.0117,0.0156,3,0.1695,0.9026,0.1495,-0.3663,3,0.1348,
3.037,0.0078,0.0117,0.0156,3,0.1695,0.9026,0.1497,-0.3663,3,0.1348,
3.047,0.0078,0.0117,0.0156,3,0.1695,0.9026,0.1498,-0.3663,3,0.1350,
3.058,0.0078,0.0117,0.0156,3,0.1696,0.9026,0.1500,-0.3662,3,0.1350,
3.068,-0.0664,0.0508,-0.1211,3,0.1696,0.9026,0.1500,-0.3662,3,0.1350,
3.079,-0.0664,0.0508,-0.1211,3,0.1696,0.9026,0.1500,-0.3662,3,0.1350,
3.090,-0.0469,0.0352,-0.1445,3,0.1696,0.9026,0.1500,-0.3662,3,0.1350,
3.101,-0.0469,0.0352,-0.1445,3,0.1693,0.9028,0.1502,-0.3657,3,0.1335,
3.112,-0.0469,0.0352,-0.1445,3,0.1693,0.9028,0.1502,-0.3655,3,0.1331,
3.123,-0.0469,0.0352,-0.1445,3,0.1693,0.9029,0.1503,-0.3654,3,0.1326,
3.134,-0.0469,0.0352,-0.1445,3,0.1693,0.9030,0.1503,-0.3652,3,0.1321,
3.145,0.0508,0.0391,-0.0547,3,0.1693,0.9030,0.1503,-0.3652,3,0.1321,
3.155,0.0508,0.0391,-0.0547,3,0.1691,0.9031,0.1503,-0.3650,3,0.1309,
3.167,0.0508,0.0391,-0.0547,3,0.1691,0.9031,0.1504,-0.3649,3,0.1306,
3.177,0.0508,0.0391,-0.0547,3,0.1690,0.9032,0.1503,-0.3648,3,0.1301,
3.188,0.0508,0.0391,-0.0547,3,0.1690,0.9032,0.1503,-0.3647,3,0.1296,
3.200,0.0508,0.0391,-0.0547,3,0.1691,0.9032,0.1505,-0.3647,3,0.1299,
3.211,-0.0078,0.0195,0.0625,3,0.1691,0.9032,0.1505,-0.3647,3,0.1299,
3.222,-0.0078,0.0195,0.0625,3,0.1691,0.9033,0.1505,-0.3645,3,0.1292,
3.233,-0.0078,0.0195,0.0625,3,0.1691,0.9033,0.1505,-0.3644,3,0.1289,
3.245,0.1211,-0.0234,0.0820,3,0.1691,0.9033,0.1505,-0.3644,3,0.1289,
3.256,0.1211,-0.0234,0.0820,3,0.1691,0.9033,0.1505,-0.3644,3,0.1292,
3.266,0.1211,-0.0234,0.0820,3,0.1692,0.9033,0.1506,-0.3643,3,0.1292,
3.277,0.1211,-0.0234,0.0820,3,0.1691,0.9033,0.1507,-0.3642,3,0.1294,
3.288,0.1211,-0.0234,0.0820,3,0.1690,0.9034,0.1508,-0.3641,3,0.1294,
