t,AcX,AcY,AcZ,GyX,GyY,GyZ
18.707,-0.58,-0.097,-0.906,-2.855,-0.931,-0.443
18.76,-0.611,-0.111,-0.907,0.924,7.069,11.115
18.811,-0.609,-0.178,-0.969,24.099,2.252,20.267
18.864,-0.546,0.078,-0.941,4.901,0,-4.267
18.913,-0.681,-0.068,-0.824,-3.229,-19.504,5.069
18.966,-0.708,-0.129,-0.788,-39.939,-30.588,4.382
19.02,-0.995,0.05,-0.82,-63.046,-102.954,-15.008
19.077,-0.987,0.065,-1.261,-18.817,-198.282,-35.458
19.133,-1.628,0.479,-1.89,-188.656,-250.137,88.809
19.188,-1.018,-0.137,-1.111,-185.916,-250.137,88.557
19.246,0.325,-1.29,-0.248,-160.908,-250.137,245.176
19.303,1.507,0.134,1.061,187.313,-74.573,-250.137
19.357,-0.366,-0.11,-0.096,39.847,250.13,-50.191
19.413,-1.883,-0.16,-0.892,104.412,250.13,-144.542
19.47,-0.858,0.096,-0.418,51,210.053,-66.366
19.523,-1.146,0.082,-0.584,95.198,191.893,-66.87
19.577,-0.919,0.111,-0.497,8.679,165.863,-14.267
19.631,-0.955,-0.14,-0.812,21.779,137.344,-11.221
19.686,-0.799,-0.054,-0.847,0.481,59.725,-4.908
19.738,-0.736,-0.149,-0.894,-3.359,69.237,-1.366
19.791,-0.684,-0.099,-0.928,-18.962,2.534,-19.267
19.845,-0.623,-0.195,-0.814,9.473,8.863,-1.328
19.896,-0.627,-0.123,-0.873,-0.908,9.206,-2.267
19.948,-0.63,-0.118,-0.851,-16.061,4.603,8.84
20,-0.622,-0.115,-0.86,8.038,12.198,5.443
20.05,-0.598,-0.106,-0.89,-11,7.809,-3.702
20.104,-0.607,-0.1,-0.907,-6.695,15.664,-12.427
20.158,-0.595,-0.125,-0.906,-5.366,8.351,-2.099
20.21,-0.571,-0.138,-0.926,-3.718,0.26,2.42
20.261,-0.591,-0.101,-0.926,10.634,-13.473,20.71
