t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
2.766,0.4414,0.5508,-0.5117,3,0.2977,0.7966,0.4703,-0.2358,3,0.0723,
2.778,0.4414,0.5508,-0.5117,3,0.2975,0.7978,0.4689,-0.2350,3,0.0723,
2.788,0.4414,0.5508,-0.5117,3,0.2974,0.7982,0.4683,-0.2347,3,0.0723,
2.798,0.4414,0.5508,-0.5117,3,0.2974,0.7986,0.4679,-0.2343,3,0.0723,
2.808,0.4414,0.5508,-0.5117,3,0.2975,0.7990,0.4673,-0.2339,3,0.0720,
2.820,0.4414,0.5508,-0.5117,3,0.2978,0.7993,0.4667,-0.2338,3,0.0720,
2.831,0.1992,0.5469,-0.2266,3,0.2978,0.7993,0.4667,-0.2338,3,0.0720,
2.842,0.1992,0.5469,-0.2266,3,0.2993,0.7998,0.4647,-0.2339,3,0.0720,
2.852,0.1992,0.5469,-0.2266,3,0.3000,0.8000,0.4640,-0.2340,3,0.0720,
2.864,0.1992,0.5469,-0.2266,3,0.3006,0.8002,0.4632,-0.2341,3,0.0718,
2.874,0.1992,0.5469,-0.2266,3,0.3010,0.8005,0.4623,-0.2343,3,0.0718,
2.885,0.4570,0.4180,-0.0781,3,0.3010,0.8005,0.4623,-0.2343,3,0.0718,
2.895,0.3398,0.2695,-0.3906,3,0.3010,0.8005,0.4623,-0.2343,3,0.0718,
2.907,0.3398,0.2695,-0.3906,3,0.3004,0.8021,0.4595,-0.2349,3,0.0718,
2.918,0.3398,0.2695,-0.3906,3,0.3000,0.8025,0.4592,-0.2348,3,0.0715,
2.928,0.3398,0.2695,-0.3906,3,0.2996,0.8029,0.4590,-0.2346,3,0.0715,
2.939,0.3398,0.2695,-0.3906,3,0.2993,0.8032,0.4587,-0.2344,3,0.0715,
2.950,0.3789,-0.1992,-0.4102,3,0.2993,0.8032,0.4587,-0.2344,3,0.0715,
2.961,0.3086,-0.2109,-0.5664,3,0.2993,0.8032,0.4587,-0.2344,3,0.0715,
2.972,0.3086,-0.2109,-0.5664,3,0.2990,0.8039,0.4577,-0.2343,3,0.0715,
2.982,0.3086,-0.2109,-0.5664,3,0.2990,0.8041,0.4570,-0.2347,3,0.0713,
2.994,0.3086,-0.2109,-0.5664,3,0.2987,0.8044,0.4564,-0.2353,3,0.0713,
3.005,0.3086,-0.2109,-0.5664,3,0.2983,0.8049,0.4556,-0.2359,3,0.0713,
3.016,-1.0313,0.0859,-0.1484,3,0.2983,0.8049,0.4556,-0.2359,3,0.0713,
3.027,-1.0313,0.0859,-0.1484,3,0.2963,0.8061,0.4542,-0.2370,3,0.0713,
3.038,-1.0313,0.0859,-0.1484,3,0.2957,0.8066,0.4536,-0.2374,3,0.0713,
3.049,-1.0313,0.0859,-0.1484,3,0.2950,0.8071,0.4531,-0.2375,3,0.0713,
3.059,-0.4805,-0.1211,-0.1953,3,0.2950,0.8071,0.4531,-0.2375,3,0.0713,
3.069,-0.4258,-0.2539,-0.1406,3,0.2950,0.8071,0.4531,-0.2375,3,0.0713,
3.082,-0.2969,-0.1875,0.0313,3,0.2950,0.8071,0.4531,-0.2375,3,0.0713,
3.092,-0.2969,-0.1875,0.0313,3,0.2921,0.8099,0.4500,-0.2371,3,0.0710,
3.103,-0.2969,-0.1875,0.0313,3,0.2915,0.8105,0.4494,-0.2369,3,0.0710,
3.113,-0.2969,-0.1875,0.0313,3,0.2910,0.8112,0.4487,-0.2366,3,0.0710,
3.125,-0.2969,-0.1875,0.0313,3,0.2903,0.8120,0.4478,-0.2362,3,0.0710,
3.136,-0.1250,-0.2383,0.2383,3,0.2903,0.8120,0.4478,-0.2362,3,0.0710,
3.147,-0.1250,-0.2383,0.2383,3,0.2894,0.8138,0.4459,-0.2348,3,0.0708,
3.158,-0.1250,-0.2383,0.2383,3,0.2893,0.8146,0.4449,-0.2343,3,0.0708,
3.169,-0.1250,-0.2383,0.2383,3,0.2894,0.8151,0.4440,-0.2338,3,0.0708,
3.179,-0.1250,-0.2383,0.2383,3,0.2895,0.8157,0.4432,-0.2333,3,0.0708,
3.191,0.3672,-0.2266,0.4805,3,0.2895,0.8157,0.4432,-0.2333,3,0.0708,
3.203,0.3672,-0.2266,0.4805,3,0.2900,0.8168,0.4416,-0.2316,3,0.0708,
